Gene name,Accession
ERG8,P24521
ERG9,P29704
ERI1,P62651
ERJ5,P43613
ERO1,Q03103
ERP1,Q05359
ERP2,P39704
ERP3,Q12403
ERP4,Q12450
ERP5,P38819
ERP6,P53198
ERR1,P0CX10
ERR2,P0CX11
ERR3,P42222
ERS1,P17261
ERT1,P38140
ERV1,P27882
ERV14,P53173
ERV15,P38312
ERV2,Q12284
ERV25,P54837
ERV29,P53337
ERV41,Q04651
ERV46,P39727
ESA1,Q08649
ESBP6,P53918
ESC1,Q03661
ESC2,Q06340
ESC8,Q08119
ESF1,Q06344
ESF2,P53743
ESL1,P40456
ESL2,P36168
ESP1,Q03018
ESS1,P22696
EST1,P17214
EST2,Q06163
EST3,Q03096
ETP1,P38748
ETR1,P38071
ETT1,Q08421
EUC1,Q04461
EUG1,P32474
EXG1,P23776
EXG2,P52911
EXO1,P39875
EXO5,P38289
EXO70,P19658
EXO84,P38261
EXP1,Q07541
FAA1,P30624
FAA2,P39518
FAA3,P39002
FAA4,P47912
FAB1,P34756
FAD1,P38913
FAF1,P40546
FAL1,Q12099
FAP1,P53971
FAP7,Q12055
FAR1,P21268
FAR10,Q06001
FAR11,P53917
FAR3,P46671
FAR7,P43592
FAR8,Q05040
FAS1,P07149
FAS2,P19097
FAT1,P38225
FAU1,P40099
FBA1,P14540
FBP1,P09201
FBP26,P32604
FCF1,Q05498
FCF2,Q12035
FCP1,Q03254
FCY1,Q12178
FCY2,P17064
FCY21,P40039
FCY22,Q12119
FDC1,Q03034
FDH1,Q08911
FDH2,P0CF35
FDO1,P40214
FEN2,P25621
FES1,P38260
FET3,P38993
FET4,P40988
FET5,P43561
FEX1,Q08913
FEX2,Q08991
FHL1,P39521
FHN1,P53279
FIG1,P38224
FIG2,P25653
FIG4,P42837
FIN1,Q03898
FIP1,P45976
FIR1,P40020
FIS1,P40515
FIT1,Q04433
FIT2,Q08906
FIT3,Q08907
FKH1,P40466
FKH2,P41813
FKS1,P38631
FKS3,Q04952
FLC1,Q08967
FLC2,P39719
FLC3,P53121
FLO10,P36170
FLO11,P08640
FLO1,P32768
FLO5,P38894
FLO8,P40068
FLO9,P39712
FLP1,P03870
FLR1,P38124
FLX1,P40464
FMC1,P40491
FMN1,Q03778
FMO1,P38866
FMP10,P40098
FMP16,Q12497
FMP23,P38231
FMP25,Q08023
FMP27,Q06179
FMP30,Q02883
FMP32,P43557
FMP33,P46998
FMP40,Q08968
FMP41,P53889
FMP42,Q04991
FMP45,Q07651
FMP46,P36141
FMP48,P53233
FMP49,A0A023PZB3
FMP52,P40008
FMS1,P50264
FMT1,P32785
FOB1,O13329
FOL1,P53848
FOL2,P51601
FOL3,Q12676
FOX2,Q02207
FPK1,P53739
FPR1,P20081
FPR2,P32472
FPR3,P38911
FPR4,Q06205
FPS1,P23900
FRA1,Q07825
FRD1,P32614
FRE1,P32791
FRE2,P36033
FRE3,Q08905
FRE4,P53746
FRE5,Q08908
FRE6,Q12473
FRE7,Q12333
FRE8,Q12209
FRK1,Q03002
FRM2,P37261
FRQ1,Q06389
FRS1,P15624
FRS2,P15625
FRT1,Q99332
FRT2,P39734
FSF1,Q12029
FSH1,P38777
FSH2,Q05015
FSH3,Q99369
FTH1,P38310
FTR1,P40088
FUB1,P25659
FUI1,P38196
FUM1,P08417
FUN12,P39730
FUN14,P18411
FUN19,P28003
FUN26,P31381
FUN30,P31380
FUR1,P18562
FUR4,P05316
FUS1,P11710
FUS2,Q05670
FUS3,P16892
FYV1,Q99341
FYV10,P40492
FYV12,Q08559
FYV4,P38783
FYV5,P25585
FYV6,P53913
FYV7,Q12247
FYV8,P46949
FZF1,P32805
FZO1,P38297
GAA1,P39012
GAB1,P41733
GAC1,P28006
GAD1,Q04792
GAL1,P04385
GAL10,P04397
GAL11,P19659
